keys,en
(基线 4k),(baseline 4k)
(基线),(baseline)
100M 卡微型星球,100M-GPU micro-planet
100k 卡建筑 (L),100k-GPU building (L)
10M · 训练 ×2.20 · agent +20,10M · train ×2.20 · agent +20
12M 卡太空 (M),12M-GPU space (M)
16 卡机架,16-GPU rack
16k 卡建筑 (S),16k-GPU building (S)
1M · 训练 ×1.60 · agent +10,1M · train ×1.60 · agent +10
1M 卡园区 (L),1M-GPU campus (L)
2-bit 量化 (2030+),2-bit quantization (2030+)
200k · 训练 ×1.30 · agent +5,200k · train ×1.30 · agent +5
200k 卡园区 (S),200k-GPU campus (S)
"2017 年, 一篇只依赖注意力机制的序列建模论文改变了路线图。它让长距离依赖、并行训练和规模化预训练更容易结合, 也解释了为什么你的公司刚开局就站在新范式的门口。","In 2017, a sequence-modeling paper built entirely on attention mechanisms changed the roadmap. It made long-range dependencies, parallel training, and scaled pretraining easier to combine, and it explains why your company starts right at the door of a new paradigm."
"2018 年, 研究者发现先用海量文本做自监督预训练, 再针对任务微调, 可以显著提升问答、分类和检索等能力。编码器路线短期很耀眼, 也让数据规模开始变成团队会议里的高频词。","In 2018, researchers found that self-supervised pretraining on massive text, followed by task-specific fine-tuning, could sharply improve question answering, classification, and retrieval. The encoder route shone for a while, and data scale became a recurring topic in team meetings."
"2019 年, 一些团队开始分阶段公开强文本生成系统, 担心它被用于垃圾内容、钓鱼和舆论操纵。技术发布不再只是论文问题, 也变成安全、滥用和责任边界的问题。","In 2019, some teams began staged releases of powerful text generators, worried they could be used for spam, phishing, and opinion manipulation. Releasing a model was no longer just a paper decision; it also became a question of safety, misuse, and responsibility."
"2019 年, 自回归解码器模型开始在续写、摘要和少样本任务上展现惊人的泛化能力。它们还不稳定, 也经常胡说八道, 但行业第一次认真讨论: 只要继续放大, 会不会涌现出新能力?","In 2019, autoregressive decoder models began showing surprising generalization in continuation, summarization, and few-shot tasks. They were still unstable and often hallucinated, but the industry seriously asked for the first time: if we keep scaling them, will new capabilities emerge?"
"2020 年前后, 参数量、数据量和训练算力之间的幂律关系被系统化。它没有告诉你怎么发明智能, 但告诉你下一次实验大概该花多少钱、喂多少 token、准备多少 TFLOPs。","Around 2020, the power-law relationships among parameter count, data volume, and training compute were systematized. They did not explain how to invent intelligence, but they did estimate how much the next run might cost, how many tokens to feed it, and how many TFLOPs to reserve."
"2020-2021 年, 稀疏专家模型重新升温。每个 token 只激活少量专家, 让模型总容量变大, 单次推理计算却不必等比例膨胀。工程团队开始把路由、负载均衡和通信开销写进白板。","In 2020-2021, sparse expert models heated up again. Each token activated only a few experts, increasing total model capacity without making per-inference compute grow proportionally. Engineering teams started filling whiteboards with routing, load balancing, and communication costs."
"2021 年, 行业开始用『基础模型』这类说法描述大规模预训练系统: 先训练一个通用底座, 再通过微调、提示和工具接入迁移到许多产品。投资人终于听懂了为什么预训练这么贵。","In 2021, the industry began describing large pretrained systems as foundation models: train a general base, then transfer it into many products through fine-tuning, prompting, and tool connections. Investors finally understood why pretraining was so expensive."
"2022 年, 扩散式图像生成从研究演示变成大众工具。提示词、风格迁移和版权争议一起涌来, 也提醒所有模型公司: 多模态不是装饰, 而是新的产品入口。","In 2022, diffusion-based image generation moved from research demo to mass-market tool. Prompts, style transfer, and copyright disputes arrived together, reminding every model company that multimodality was not decoration but a new product doorway."
"2022 年底, 会听指令、能多轮对话、懂得拒绝危险请求的聊天助手突然走进大众视野。背后是监督微调、偏好数据和人类反馈训练的组合, 也是 AI 产品化的分水岭。","By late 2022, chat assistants that followed instructions, handled multi-turn dialogue, and refused dangerous requests suddenly entered public view. Behind them was a combination of supervised fine-tuning, preference data, and human-feedback training, marking a productization turning point for AI."
"2023 年, 开放权重模型和社区微调迅速扩散。小团队可以在公开底座上做行业适配, 大公司也发现护城河不只在参数本身, 还在数据、服务、分发和迭代速度。","In 2023, open-weight models and community fine-tuning spread quickly. Small teams could adapt public bases to industries, while large companies learned that the moat was not just parameters but data, service, distribution, and iteration speed."
"2023 年, 模型开始更自然地处理图像、文本、代码和外部工具。聊天框不再只是聊天框, 而是能看图、调用函数、检索资料、执行步骤的工作台雏形。","In 2023, models became more natural at handling images, text, code, and external tools. The chat box was no longer just a chat box; it became the early form of a workspace that could see images, call functions, retrieve material, and execute steps."
"2024 年, 上下文窗口从论文指标变成销售话术: 一次塞进整本手册、整仓代码、整份合同。真正困难的不只是放进去, 还包括检索到、推理对、服务得起。","In 2024, context windows moved from paper metric to sales pitch: load an entire manual, repository, or contract at once. The hard part was not only fitting it in, but retrieving the right pieces, reasoning correctly, and serving it affordably."
"2025 年, 越来越多团队把数学、代码和可自动检查任务作为训练信号, 让模型在回答前花更多计算做推理。行业开始重新分配预算: 不只训练更大模型, 也训练更会想的模型。","In 2025, more teams used math, code, and automatically checkable tasks as training signals, making models spend more compute reasoning before answering. The industry began reallocating budget: not only training bigger models, but training models that think better."
20M 卡太空 (L),20M-GPU space (L)
2k 卡大厅,2k-GPU hall
32 卡机架,32-GPU rack
32k · 训练 ×1.10 · agent +2,32k · train ×1.10 · agent +2
32k 卡建筑 (M),32k-GPU building (M)
3M 卡都市级,3M-GPU metropolis
500 卡机房,500-GPU room
500k 卡园区 (M),500k-GPU campus (M)
6M 卡太空 (S),6M-GPU space (S)
72 卡机架,72-GPU rack
8 卡机柜,8-GPU pod
8k 卡整层,8k-GPU floor
A 轮,Series A
AGI 时间表正在压缩,The AGI timeline is compressing
Ant v1 基线注意力,Ant v1 baseline attention
Ant v2 Dense 精炼 (早期稠密时代),Ant v2 dense refinement (early dense era)
B 轮,Series B
Bee v1 Dense Scaling (大规模稠密时代),Bee v1 dense scaling (large-scale dense era)
"前沿加速卡时代的 FP4 原生支持; 单 token 算力降到 25%, 推理吞吐 4× (与 fp8/int8 累乘).","Native FP4 for the frontier accelerator era; per-token compute down to 25%, inference throughput 4× (stacks with fp8/int8)."
BERT Giant 编码器,BERT Giant encoder
BERT 编码器,BERT encoder
BERT 规模化编码器,BERT scaled encoder
C 轮,Series C
D 轮,Series D
DPO 直接偏好优化,DPO direct preference optimization
DeBERTa 解耦注意力编码器,DeBERTa disentangled-attention encoder
DeFi 创世流动性凭证,DeFi Genesis LP Token
DeepSeek-V3 引入的多 token 预测 loss; 训练加速 + 评估能力提升.,Multi-token-prediction loss introduced by DeepSeek-V3; faster training + higher evaluated capability.
Diffusion + 自回归头. 解锁 multimodal_method=diffusion_ar (multi 维度 ×1.20).,Diffusion + autoregressive head. Unlocks multimodal_method=diffusion_ar (multi axis ×1.20).
"Direct Preference Optimization, 2023 主流偏好对齐.","Direct Preference Optimization, the mainstream 2023 preference alignment."
E 轮,Series E
ELECTRA 判别式预训练,ELECTRA discriminative pretraining
"Encoder-Decoder 架构, 2019 主流. 比 BERT 强些 (cap=45), 仍输给 dense decoder 路线.","Encoder-decoder architecture, mainstream 2019. A bit stronger than BERT (cap=45) but still loses to the dense-decoder line."
