keys,zh,en
APP_TITLE,Scaling Up,Scaling Up
NAV_OPERATIONS,运营,Operations
NAV_RND,研发,R&D
NAV_MARKET,竞争对手,Competitors
ACTION_NEW,新建,New
ACTION_CANCEL,取消,Cancel
ACTION_CONFIRM,确认,Confirm
ACTION_OK,确定,OK
ACTION_DELETE,删除,Delete
SETTINGS_TITLE,设置,Settings
SETTINGS_SECTION_DISPLAY,显示,Display
SETTINGS_SECTION_AUDIO,音频,Audio
SETTINGS_SECTION_SYSTEM,系统,System
SETTINGS_LANGUAGE,语言,Language
SETTINGS_AUTOSAVE,推进回合时自动存档,Autosave on turn advance
SETTINGS_MUSIC,背景音乐,Background Music
SETTINGS_MUSIC_VOLUME,音乐音量,Music Volume
SETTINGS_SFX,界面音效,UI Sound Effects
SETTINGS_FULLSCREEN,全屏,Fullscreen
SETTINGS_UI_SCALE,界面缩放,UI Scale
SETTINGS_UI_SCALE_AUTO,自动,Auto
SETTINGS_RETURN_TO_MENU,返回主菜单,Return to Main Menu
RETURN_TO_MENU_CONFIRM_TITLE,返回主菜单？,Return to Main Menu?
RETURN_TO_MENU_CONFIRM_BODY,当前进度将自动存档，可从「继续游戏」恢复。,Progress is auto-saved; resume it from Continue.
RETURN_TO_MENU_CONFIRM_OK,返回,Return
APP_SUBTITLE,经营一家 AI 模型公司,Run an AI model company
MENU_NEW_GAME,新游戏,New Game
MENU_CONTINUE,继续游戏,Continue
MENU_LOAD,读取存档,Load Game
MENU_QUIT,退出游戏,Quit
MENU_NO_SAVE,没有可继续的存档,No save to continue
MENU_LOAD_FAILED,读档失败: %s,Load failed: %s
NAV_GROUP_MARKET,市场,Market
NAV_OVERVIEW,概览,Overview
NAV_ECONOMY,经济,Economy
NAV_HIRING,招聘,Hiring
NAV_STAFF,员工,Staff
NAV_TASKS,任务,Tasks
NAV_EVENTS,事件,Events
NAV_MODELS,模型,Models
NAV_INFRA,基建,Infrastructure
NAV_DATASET,数据,Data
NAV_TECH,科技,Tech
NAV_PRODUCT,产品,Products
NAV_MARKETING,营销,Marketing
NAV_MONETIZATION,营收,Revenue
TOPBAR_TURN,回合,Turn
TOPBAR_CASH,现金,Cash
TOPBAR_NET_CASHFLOW,周净流,Weekly net
TOPBAR_PUBLISHED,已发布,Published
TOPBAR_PUBLISHED_VALUE,%d 个,%d
TOPBAR_PAID_USERS,付费用户,Paid users
TOPBAR_COMPUTE,算力,Compute
TOPBAR_ADVANCE,推进回合 →,Advance →
ACTION_SAVE,存档,Save
SECTION_OVERVIEW_COMPANY,公司概览,Company Overview
SECTION_OVERVIEW_NEXT_STEPS,下一步建议,Next Steps
SECTION_OVERVIEW_ASSETS,资产清单,Assets
SECTION_ECONOMY_FUNDING,融资轮 (顺序解锁),Funding Rounds (sequential)
SECTION_ECONOMY_LOANS,贷款,Loans
SECTION_ECONOMY_LAST_WEEK,上周收支明细,Last Week's Cashflow
SECTION_ECONOMY_FINANCE_12W,最近 12 周财务表,Last 12 Weeks Financials
SECTION_ECONOMY_CASH_DEBT_EQUITY,现金 / 负债 / 股权,Cash / Debt / Equity
SECTION_MARKET_LEADERBOARD,排行榜 (玩家总榜名次: %s),Leaderboard (your overall rank: %s)
SECTION_REVENUE_LAST_WEEK,上周营收,Last Week's Revenue
SECTION_REVENUE_API,API 营收 (按模型 / 产品),API Revenue (by model / product)
SECTION_REVENUE_SUBSCRIPTION,订阅营收 (按产品),Subscription Revenue (by product)
SECTION_REVENUE_TOKEN_DEMAND,Token 需求 (按模型),Token Demand (by model)
BTN_FUNDING_DONE,已完成,Completed
BTN_FUNDING_ACCEPT,接受融资,Accept Funding
BTN_FUNDING_LOCKED,未解锁,Locked
BTN_APPLY_LOAN,申请贷款 ...,Apply for Loan ...
